algorithm,objective,K,psnr_mean,psnr_std,ssim_mean,ssim_std,uniformity_mean,uniformity_std,time_mean,time_std,n_runs
JADE,kapur,3,19.48299706220049,1.63510560074852,0.7333134750855349,0.04526965116728568,0.9757466204207128,0.009868241735946066,0.416377005559237,0.004616018150837713,300
JADE,kapur,5,22.423346244114327,2.4640103913396842,0.8086740207231021,0.033205722423902156,0.9866402360449009,0.007720943750201979,0.49319186266201237,0.004845020405331802,300
JADE,kapur,7,25.408255948693657,3.2807250594171826,0.8516590459983548,0.03404783304141918,0.9921056813169619,0.0074790950329487235,0.5712853692805705,0.007109372603652643,300
JADE,kapur,9,28.662610411476585,3.899893417743539,0.8788803741603339,0.027169709928662158,0.9952777894658837,0.006765609486123617,0.6486756008475398,0.009094779681584208,300
JADE,kapur,11,30.65641202546399,4.19623781329195,0.9004828841819998,0.028432098737250625,0.996374260887242,0.006550933517858885,0.7247034120792523,0.0063132592911183845,300
JADE,kapur,12,31.604108376492217,4.1507313635415475,0.9096183081866375,0.029265979263932963,0.9968855969229283,0.006170504858817181,0.76213000142714,0.0060517148140857464,300
JADE,otsu,3,24.53485282583042,1.179848784039072,0.7466723151136403,0.03453446010849541,0.9927138431702652,0.001838592749952658,0.39482499542568494,0.00657646846208356,300
JADE,otsu,5,28.313664339322106,1.1247261016042924,0.844762908660227,0.028033864082695238,0.9969605179013511,0.0007064963674442791,0.4536741231832032,0.004364907152792918,300
JADE,otsu,7,30.85468678365966,1.1407528396544526,0.8915260379107548,0.017745384232902905,0.9983059817306463,0.0004053112351944765,0.5160599723784253,0.011076359760766584,300
JADE,otsu,9,32.792185194062554,1.2091004894771809,0.9191988619027963,0.015501478541625069,0.9989129895844946,0.0002671838749374874,0.575359664837985,0.00891968012836719,300
JADE,otsu,11,34.293535633255715,1.231120192360658,0.9370149196636205,0.012901217247132906,0.9992307558552659,0.0001895180098376446,0.6351509451858389,0.00805620531623947,300
JADE,otsu,12,34.95679475562219,1.2597811988363967,0.9435444611637157,0.012168941297895829,0.9993390867924785,0.00016511913812224728,0.6641648966407714,0.008438689636897848,300
JADE,tsallis,3,19.966854247383836,1.5128454725726117,0.73784154984484,0.03837203665768376,0.9784898330202499,0.008514432353556653,0.41975344390918806,0.003504962660813783,300
JADE,tsallis,5,22.238405266434665,1.9067575509976458,0.8138161296097199,0.03158782145151514,0.9867015501308106,0.007096513208091568,0.48193093012707927,0.003801015899324641,300
