algorithm,image,objective,K,psnr_mean,psnr_std,ssim_mean,ssim_std,uniformity_mean,uniformity_std,time_mean,n_runs
JADE,IMG-0003-00010.png,kapur,3,19.10757118073719,0.0,0.249705583183391,0.0,0.9754391481845052,0.0,0.719565119392549,30
JADE,IMG-0003-00010.png,kapur,5,28.6468020579244,0.08410736470088351,0.8921778217974653,0.0009589483736480795,0.9972690786931426,5.2573955079196536e-05,0.9267804790676261,30
JADE,IMG-0003-00010.png,kapur,7,31.96142883157296,0.17198943909029005,0.9359441457784771,0.001889172419829619,0.9987268987238801,5.089987951274019e-05,1.002962091518566,30
JADE,IMG-0003-00010.png,kapur,9,33.90046958159365,0.3284926968963179,0.9551700064240616,0.003011781713543804,0.9991840561559506,6.077690738682999e-05,1.15389004436632,30
JADE,IMG-0003-00010.png,kapur,11,35.52532958759157,0.33442324752180286,0.9679288735101517,0.002021913097910915,0.9994390794780184,4.320784426048566e-05,1.2918731180873388,30
JADE,IMG-0003-00010.png,kapur,12,36.32010853927626,0.3411593975170957,0.9729225850965194,0.0019464112028180379,0.9995330207692239,3.7951999851336216e-05,1.5434917916233342,30
JADE,IMG-0003-00010.png,otsu,3,27.26380124179377,0.0,0.8128651641409868,0.0,0.996247838381606,0.0,0.6874667083766932,30
JADE,IMG-0003-00010.png,otsu,5,30.83956937966645,0.00914609213219401,0.9306265843224928,0.00044711128136510703,0.998354966359643,3.259015559316307e-06,0.7828789277312657,30
JADE,IMG-0003-00010.png,otsu,7,33.263828252514344,0.031142540758243385,0.9544979260434657,0.001095844484855221,0.9990587155800298,6.803449528572155e-06,0.8812556319714834,30
JADE,IMG-0003-00010.png,otsu,9,35.191941534656124,0.08295882810303645,0.9670673157114106,0.0009242700399167954,0.9993964618510149,1.1505874072672128e-05,0.9837469888385385,30
JADE,IMG-0003-00010.png,otsu,11,36.72573352775135,0.10105938576563529,0.9756519459476267,0.000781984825141274,0.9995761613282943,9.825994232540389e-06,1.086450691629822,30
JADE,IMG-0003-00010.png,otsu,12,37.39648242138442,0.1169553222189797,0.9786690990754433,0.0006600919885500959,0.9996368756168772,9.88453660706301e-06,1.1426130001122752,30
JADE,IMG-0003-00010.png,tsallis,3,16.69619435726649,0.0,0.1944407790792168,0.0,0.957206016608228,0.0,0.7618373179808259,30
JADE,IMG-0003-00010.png,tsallis,5,21.43178518923566,0.213992062738735,0.3243974962536244,0.0049790441626595995,0.9856022811363376,0.0007212455265749565,0.8621307387715206,30
JADE,IMG-0003-00010.png,tsallis,7,23.10081215934642,0.41115657738282074,0.37720307210942483,0.013010018930051697,0.9901674288389637,0.0009071520571650233,0.9709329707392802,30
JADE,IMG-0003-00010.png,tsallis,9,25.130828827283402,1.2284590285306431,0.4526317263174283,0.051730095689391506,0.9936310596705806,0.0017545947115085016,1.1197096014550576,30
JADE,IMG-0003-00010.png,tsallis,11,27.467211966888033,1.7552193754323795,0.5645695531568646,0.09616214842170283,0.9961198772048208,0.0016338746898967745,1.2297130236169322,30
JADE,IMG-0003-00010.png,tsallis,12,29.25409228793055,2.053833403888681,0.6636395715426969,0.12491291956932936,0.9973632775475366,0.0012534777275661948,1.2926844901638106,30
JADE,IMG-0004-00010.png,kapur,3,19.91988093885099,0.0,0.2821441111549853,0.0,0.9796315096962656,0.0,0.7202818347141147,30
JADE,IMG-0004-00010.png,kapur,5,29.478849542491016,0.05252934348380024,0.9079353527837989,0.0019942170168620256,0.9977459671710375,2.7381333658600983e-05,0.8492899181398873,30
JADE,IMG-0004-00010.png,kapur,7,31.892125007734005,0.1473615767983163,0.9373287124801885,0.004018075186215137,0.9987066788411204,4.4145152434865435e-05,0.9858515152164424,30
JADE,IMG-0004-00010.png,kapur,9,33.970584461690514,0.25330248381194903,0.9583709534220636,0.0029912529436269585,0.9991978810370935,4.742316525141613e-05,1.1171112986359124,30
JADE,IMG-0004-00010.png,kapur,11,35.706435988569346,0.22003673845613841,0.9713061226307543,0.0020549139884480745,0.999462735066965,2.7683268800945724e-05,1.2498961460155746,30
JADE,IMG-0004-00010.png,kapur,12,36.319468981810026,0.23271627754286417,0.9747267162446395,0.0017381554649222638,0.9995336616387747,2.5130363328999e-05,1.320157280478937,30
JADE,IMG-0004-00010.png,otsu,3,26.913317112334166,0.0,0.8109151881986946,0.0,0.99592987093804,0.0,0.6954440847815325,30
JADE,IMG-0004-00010.png,otsu,5,30.482290660095167,0.0065001186264647395,0.8973975995538591,0.0360750908160729,0.9982157000321987,2.8825756807948786e-06,0.7931512263060237,30
JADE,IMG-0004-00010.png,otsu,7,33.03540928065212,0.02986805713671668,0.9555357098564338,0.0007951835869298804,0.9990080366630943,6.810845120993583e-06,0.9093054805882275,30
JADE,IMG-0004-00010.png,otsu,9,34.92774662699892,0.06602315440976146,0.968711817832839,0.0007348265848881575,0.9993585381316644,9.812772240650441e-06,0.9877538876142353,30
JADE,IMG-0004-00010.png,otsu,11,36.3958339536745,0.08891710988131589,0.9762172020865634,0.000688876813352865,0.9995426888432752,9.461179844156695e-06,1.096369981765747,30
JADE,IMG-0004-00010.png,otsu,12,37.04482237533589,0.12615401198494997,0.9792544685095558,0.0009161342676090054,0.9996061156102886,1.1403047048190702e-05,1.1358357735909521,30
JADE,IMG-0004-00010.png,tsallis,3,19.028411002833295,0.0,0.2614932123937597,0.0,0.9749864365230214,0.0,0.7285922834494462,30
JADE,IMG-0004-00010.png,tsallis,5,20.13928723220105,0.06535843584336086,0.30079252671272727,0.001603653545276441,0.9806329899626159,0.0002932642225202722,0.833321105564634,30
JADE,IMG-0004-00010.png,tsallis,7,21.41468128168697,0.4097256910764477,0.33502667989359336,0.008694778634643753,0.9855000481272763,0.0013680136895453886,0.9390595860779285,30
JADE,IMG-0004-00010.png,tsallis,9,22.820139351729104,0.7252521753871741,0.37358660882855366,0.020106527069122807,0.9894160799535212,0.0017140978402073114,1.0451765389104064,30
JADE,IMG-0004-00010.png,tsallis,11,28.74315038989099,3.1533902620457765,0.643166445538693,0.16607538308656414,0.9965851561845903,0.002420186483751508,1.1544322485725085,30
JADE,IMG-0004-00010.png,tsallis,12,32.46051789182169,2.276874760760387,0.8172084467242955,0.11102791835090514,0.9987031375383645,0.0007210367276678563,1.2081231667116905,30
JADE,IMG-0006-00010.png,kapur,3,25.254283064452395,0.0,0.866400465583049,0.0,0.9940375454709705,0.0,0.7183158222430696,30
JADE,IMG-0006-00010.png,kapur,5,29.72538479879542,0.0949021819933607,0.9070564497821737,0.0006626252167550134,0.9978700624369055,4.555426279487422e-05,0.9482268360831464,30
JADE,IMG-0006-00010.png,kapur,7,31.940543376164804,0.40510626665852734,0.9257517178207333,0.0027105473261462604,0.9987161612566167,0.00012201287273282017,1.1450620653030152,30
JADE,IMG-0006-00010.png,kapur,9,33.80384583486755,0.43554035048543016,0.9397653928347816,0.0034106168244465366,0.999163861370001,8.850665464338649e-05,1.3191632791111867,30
JADE,IMG-0006-00010.png,kapur,11,35.485908720138596,0.38224857450870803,0.9510057047144321,0.0027642742189719735,0.9994334904553644,4.947736364409586e-05,1.3099571181538825,30
JADE,IMG-0006-00010.png,kapur,12,36.23739569735796,0.46151945154168994,0.9566501662747467,0.003479810025652067,0.9995228321235409,5.356727316817216e-05,1.3440881902351975,30
JADE,IMG-0006-00010.png,otsu,3,27.882416866908653,0.0,0.8202454609758667,0.0,0.9967478861755524,0.0,0.673464187545081,30
JADE,IMG-0006-00010.png,otsu,5,31.46492624177288,0.012793564017649573,0.9215792125329474,0.0005249187291798621,0.9985763931983597,4.3673746045434535e-06,0.775162722170353,30
JADE,IMG-0006-00010.png,otsu,7,33.69756133854511,0.036627007679449784,0.9426661973548897,0.0019468361885521437,0.9991491451934459,7.138895509750596e-06,0.8784222818833466,30
JADE,IMG-0006-00010.png,otsu,9,35.59225790307862,0.09684699874180278,0.9565743725712679,0.0016876352580198362,0.9994494125408225,1.2443378541000511e-05,0.9828585514100269,30
JADE,IMG-0006-00010.png,otsu,11,37.004627137206526,0.1006614693504615,0.967100264803996,0.0016418285047953714,0.9996024138511621,9.287896308924351e-06,1.0823048209305852,30
JADE,IMG-0006-00010.png,otsu,12,37.56030667145169,0.09546659414348971,0.9697331417524155,0.0017768850030273357,0.9996503166999753,7.855796623004924e-06,1.137842729066809,30
JADE,IMG-0006-00010.png,tsallis,3,20.2143298630985,0.0,0.3351939103691839,0.0,0.9809636660857032,0.0,0.7235024376073852,30
JADE,IMG-0006-00010.png,tsallis,5,21.331091059974003,0.25474806558319285,0.3684091297852546,0.004746860005995719,0.9852574712806039,0.0008631142386849992,0.8320146667848651,30
JADE,IMG-0006-00010.png,tsallis,7,24.96740145502843,0.6215883171162742,0.49403844310002193,0.03245468171962566,0.9935653715979157,0.0009626489022006399,0.9462510152487085,30
JADE,IMG-0006-00010.png,tsallis,9,27.324540816767637,1.022861428736535,0.6151249144671468,0.059160711188469675,0.9961980270080929,0.0009149621616953307,1.0520094417734072,30
JADE,IMG-0006-00010.png,tsallis,11,35.19033033348492,1.2967703720377772,0.9417851622641894,0.05817020542568432,0.9993544039000543,0.0004077982506875353,1.155122377933003,30
JADE,IMG-0006-00010.png,tsallis,12,36.17337650215008,0.4494292274310193,0.9508653048054551,0.021166229899835434,0.9995183422591845,4.8620221741680206e-05,1.2097734277835115,30
JADE,IMG-0010-00010.png,kapur,3,26.442201010257634,0.0,0.8992000553654897,0.0,0.9954627814391611,0.0,0.7178356000067045,30
JADE,IMG-0010-00010.png,kapur,5,29.779661601251103,0.027720498973127554,0.9320247990523249,0.0006293681663724004,0.9978969794616278,1.347265838373653e-05,0.8547704999723161,30
JADE,IMG-0010-00010.png,kapur,7,32.826010580795376,0.11085005949797298,0.9543331589940294,0.000987440539113235,0.9989572677881278,2.6669767752415996e-05,1.0004789263553298,30
JADE,IMG-0010-00010.png,kapur,9,34.5014530509025,0.40045166604784455,0.9645538178610759,0.002042049673854909,0.9992886131167183,6.993408968126492e-05,1.1249545596539974,30
JADE,IMG-0010-00010.png,kapur,11,36.08750616155762,0.3161377663925743,0.9716783884448478,0.0016347976315749643,0.9995073033665172,3.626271314044753e-05,1.250489322243569,30
